benchmark,run,result
csrmv,baseline,121204
csrmv,dce,120654
csrmv,rod,121204
csrmv,lvn,120654
bubblesort,baseline,253
bubblesort,dce,253
bubblesort,rod,253
bubblesort,lvn,253
max-subarray,baseline,193
max-subarray,dce,193
max-subarray,rod,193
max-subarray,lvn,193
quickselect,baseline,279
quickselect,dce,279
quickselect,rod,279
quickselect,lvn,279
mat-mul,baseline,1990407
mat-mul,dce,1990407
mat-mul,rod,1990407
mat-mul,lvn,1990407
quicksort-hoare,baseline,27333
quicksort-hoare,dce,27333
quicksort-hoare,rod,27333
quicksort-hoare,lvn,27333
quicksort,baseline,264
quicksort,dce,264
quicksort,rod,264
quicksort,lvn,264
eight-queens,baseline,1006454
eight-queens,dce,959702
eight-queens,rod,1006454
eight-queens,lvn,959701
binary-search,baseline,78
binary-search,dce,75
binary-search,rod,78
binary-search,lvn,75
fib,baseline,121
fib,dce,121
fib,rod,121
fib,lvn,121
adj2csr,baseline,56629
adj2csr,dce,56629
adj2csr,rod,56629
adj2csr,lvn,56629
primitive-root,baseline,11029
primitive-root,dce,11024
primitive-root,rod,11029
primitive-root,lvn,11024
two-sum,baseline,98
two-sum,dce,88
two-sum,rod,98
two-sum,lvn,75
major-elm,baseline,47
major-elm,dce,47
major-elm,rod,47
major-elm,lvn,47
sieve,baseline,3482
sieve,dce,3455
sieve,rod,3482
sieve,lvn,3455
adler32,baseline,6851
adler32,dce,6851
adler32,rod,6851
adler32,lvn,6851
vsmul,baseline,86036
vsmul,dce,86036
vsmul,rod,86036
vsmul,lvn,86036
norm,baseline,505
norm,dce,505
norm,rod,505
norm,lvn,505
cordic,baseline,517
cordic,dce,516
cordic,rod,517
cordic,lvn,514
sqrt,baseline,322
sqrt,dce,321
sqrt,rod,322
sqrt,lvn,320
ray-sphere-intersection,baseline,142
ray-sphere-intersection,dce,142
ray-sphere-intersection,rod,142
ray-sphere-intersection,lvn,121
n_root,baseline,733
n_root,dce,733
n_root,rod,733
n_root,lvn,733
newton,baseline,217
newton,dce,217
newton,rod,217
newton,lvn,217
euler,baseline,1908
euler,dce,1907
euler,rod,1908
euler,lvn,1905
pow,baseline,36
pow,dce,34
pow,rod,36
pow,lvn,30
mandelbrot,baseline,2720947
mandelbrot,dce,2720813
mandelbrot,rod,2720947
mandelbrot,lvn,2607457
conjugate-gradient,baseline,1999
conjugate-gradient,dce,1999
conjugate-gradient,rod,1999
conjugate-gradient,lvn,1999
riemann,baseline,298
riemann,dce,298
riemann,rod,298
riemann,lvn,298
orders,baseline,5352
orders,dce,5352
orders,rod,5352
orders,lvn,5352
check-primes,baseline,8468
check-primes,dce,8419
check-primes,rod,8468
check-primes,lvn,8321
mod_inv,baseline,558
mod_inv,dce,555
mod_inv,rod,558
mod_inv,lvn,554
primes-between,baseline,574100
primes-between,dce,574100
primes-between,rod,574100
primes-between,lvn,574100
armstrong,baseline,133
armstrong,dce,130
armstrong,rod,133
armstrong,lvn,130
bitshift,baseline,167
bitshift,dce,167
bitshift,rod,167
bitshift,lvn,151
pascals-row,baseline,146
pascals-row,dce,139
pascals-row,rod,146
pascals-row,lvn,136
rectangles-area-difference,baseline,14
rectangles-area-difference,dce,14
rectangles-area-difference,rod,14
rectangles-area-difference,lvn,14
bitwise-ops,baseline,1690
bitwise-ops,dce,1689
bitwise-ops,rod,1690
bitwise-ops,lvn,1689
up-arrow,baseline,252
up-arrow,dce,252
up-arrow,rod,252
up-arrow,lvn,252
digital-root,baseline,247
digital-root,dce,247
digital-root,rod,247
digital-root,lvn,247
collatz,baseline,169
collatz,dce,169
collatz,rod,169
collatz,lvn,169
gcd,baseline,46
gcd,dce,46
gcd,rod,46
gcd,lvn,46
perfect,baseline,232
perfect,dce,232
perfect,rod,232
perfect,lvn,232
is-decreasing,baseline,127
is-decreasing,dce,127
is-decreasing,rod,127
is-decreasing,lvn,126
catalan,baseline,659378
catalan,dce,659378
catalan,rod,659378
catalan,lvn,659378
palindrome,baseline,298
palindrome,dce,298
palindrome,rod,298
